seqno,configno,fitnessScore,dust,lcase_masking,soft_masking,ungapped,xdrop_gap,xdrop_gap_final,xdrop_ungap
1,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
1,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
2,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
3,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
3,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
4,1599,94.951,20 64 1,FALSE,TRUE,TRUE,30,100,20
5,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
5,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
6,2724,85.19825,no,FALSE,TRUE,FALSE,30,100,20
7,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
8,1724,79.9285,20 64 1,FALSE,TRUE,FALSE,30,100,20
9,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
10,1974,97,20 64 1,FALSE,FALSE,FALSE,30,100,20
11,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
12,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
13,2599,93.5,no,FALSE,TRUE,TRUE,30,100,20
14,1724,79.842,20 64 1,FALSE,TRUE,FALSE,30,100,20
15,1847,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
15,1848,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
16,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
16,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
17,1847,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
17,1848,82.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
18,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
18,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
19,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
19,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
20,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
20,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
21,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
21,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
22,1597,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
22,1598,93.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
23,1597,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
23,1598,113.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
24,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
24,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
25,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
25,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
26,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
27,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
27,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
28,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
28,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
29,1599,87,20 64 1,FALSE,TRUE,TRUE,30,100,20
29,1974,87,20 64 1,FALSE,FALSE,FALSE,30,100,20
30,1849,83.5,20 64 1,FALSE,FALSE,TRUE,30,100,20
31,1847,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
31,1848,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
32,2597,152.333333333,no,FALSE,TRUE,TRUE,30,100,0.1
32,2598,152.333333333,no,FALSE,TRUE,TRUE,30,100,0.5
33,1724,79.8355,20 64 1,FALSE,TRUE,FALSE,30,100,20
34,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
34,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
35,1597,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
35,1598,103.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
36,1597,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
36,1598,83.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
37,1597,2373.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
37,1598,2373.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
38,1847,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
38,1848,102.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
39,1847,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.1
39,1848,92.333333333,20 64 1,FALSE,FALSE,TRUE,30,100,0.5
40,1597,193.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.1
40,1598,193.5,20 64 1,FALSE,TRUE,TRUE,30,100,0.5
41,1724,79.9245,20 64 1,FALSE,TRUE,FALSE,30,100,20
42,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
43,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
44,1724,80,20 64 1,FALSE,TRUE,FALSE,30,100,20
