seqno,configno,distance,medianpercid,medianeval,hits,fitnessScore
2,1724,0,100,0,1,80
7,1724,0,100,0,1,80
8,1724,0,99.857,0,1,79.9285
12,1724,0,100,0,1,80
14,1724,0,99.684,0,1,79.842
26,1724,0,100,0,1,80
33,1724,0,99.671,0,1,79.8355
41,1724,0,99.849,0,1,79.9245
42,1724,0,100,0,1,80
43,1724,0,100,0,1,80
44,1724,0,100,0,1,80
45,1724,0,100,0,1,80
47,1724,0,100,0,1,80
53,1724,0,100,0,1,80
58,1724,0,100,0,1,80
63,1724,0,100,0,2,90
67,1724,0,100,0,2,90
68,1724,0,100,0,1,80
69,1724,0,100,0,1,80
74,1724,0,100,0,1,80
75,1724,0,97.8835,0,2,88.94175
78,1724,0,100,0,1,80
79,1724,0,100,0,1,80
80,1724,0,100,0,1,80
81,1724,0,100,0,1,80
83,1724,0,100,0,1,80
87,1724,0,100,0,1,80
89,1724,0,100,0,2,90
90,1724,0,99.538,0,1,79.769
95,1724,0,100,0,1,80
96,1724,0,100,0,1,80
107,1724,0,100,0,1,80
113,1724,0,100,0,1,80
115,1724,0,100,0,1,80
117,1724,0,99.842,0,1,79.921
118,1724,0,100,0,1,80
120,1724,0,100,0,1,80
123,1724,0,100,0,1,80
125,1724,0,95.7865,0,2,87.89325
127,1724,0,99.919,0,2,89.9595
131,1724,0,100,0,1,80
135,1724,0,100,0,1,80
137,1724,0,100,0,2,90
138,1724,0,100,0,1,80
141,1724,0,100,0,1,80
144,1724,0,94.34,0,6,127.17
148,1724,0,100,0,1,80
149,1724,0,94.621,0,2,87.3105
154,1724,0,100,0,1,80
155,1724,0,100,0,1,80
166,1724,0,99.851,0,1,79.9255
170,1724,0,100,0,1,80
173,1724,0,97.8725,0,2,88.93625
174,1724,0,100,0,1,80
176,1724,0,100,0,1,80
177,1724,0,99.811,0,1,79.9055
179,1724,0,99.851,0,1,79.9255
182,1724,0,100,0,1,80
183,1724,0,100,0,1,80
185,1724,0,100,0,1,80
186,1724,0,100,0,1,80
187,1724,0,100,0,1,80
192,1724,0,95.436,0,1,77.718
193,1724,0,100,0,1,80
194,1724,0,99.541,0,1,79.7705
